region;rozloha;obyvatele;prirustek_obyvatel;rozvody;porodnost;umrtnost;potraty;krajske_mesto;obyvatele_kraj_mesta;obce;mesta;hdp;pps;nezamestnanost;univerzity;studenti;zakladni_skoly;zaci;podíl_lidi_ve_mestech;nemocnice;luzka;hotely;hoste;duchodci;prumerny_duchod;dokoncene_byty
Hl. m. Praha;496,207782;1280508;12,69;48;11,69;9,69;28;Praha;1267449;1;1;829168;173,4;3,350507516;30;118435;269;98126;100;27;9784;795;7127558;308050;11 887;5211
Středočeský;10928,50466;1338982;9,9;73;11,13;9,4;33;Praha;1267449;1145;83;369335;77,2;4,306877551;2;3245;549;120393;52,43744875;27;5951;682;939041;335652;11 103;4872
Jihočeský;10058,08784;638782;0,93;56;10,11;10,09;36;Č.Budějovice;93513;623;54;343817;71,9;4,284542012;4;15547;257;55426;63,6221747;9;3406;1195;1446905;176978;10 869;1246
Plzeňský;7648,985618;578629;2,88;55;9,89;10,04;41;Plzeň;169858;501;57;384101;80,3;3,560463791;1;13266;221;49438;67,20074521;11;3485;519;660011;160454;10 970;1208
Karlovarský;3310,387668;296749;-3,39;62;9,22;10,51;37;Karlovy Vary;49326;132;38;276941;57,9;5,453118274;0;641;106;24845;82,30120405;5;1412;473;948871;80017;10 789;408
Ústecký;5338,536759;821377;-1,39;71;10,05;10,73;45;Ústí n/Labem;93248;354;59;309564;64,7;7,786524266;2;9651;279;74974;79,6923946;19;5289;473;527461;228858;10 769;816
Liberecký;3163,477036;440636;0,55;67;10,11;9,9;43;Liberec;103288;215;39;315209;65,9;5,173031878;1;6364;203;39911;77,37543006;8;2442;904;863520;122718;10 877;628
Královéhradecký;4759,001314;550804;-0,58;55;10;10,18;35;Hradec Králové;92891;448;48;356040;74,4;3,757303295;1;10640;269;48324;66,62497004;9;3404;1036;1158127;159833;10 940;1059
Pardubický;4519,00119;517087;0,75;60;10,48;9,93;27;Pardubice;89638;451;38;327545;68,5;4,03653184;1;7760;251;44988;61,77239033;8;2487;350;443717;146108;10 796;1096
Vysočina;6795,565124;508952;-0,62;51;10,46;9,57;27;Jihlava;50714;704;34;334994;70,1;5,165696667;1;2221;263;43876;56,57527625;6;2678;443;522415;146116;10 786;997
Jihomoravský;7187,81645;1178812;2,37;57;10,94;9,74;30;Brno;377028;673;49;397233;83,1;6,106019883;11;66895;480;98990;61,65588745;22;7395;800;1647533;325578;10 794;3338
Olomoucký;5271,461514;633925;-1,01;56;10,06;10,16;34;Olomouc;100154;399;30;314478;65,8;5,941134201;3;21511;297;54226;56,24340419;9;3151;473;600106;175694;10 747;1095
Zlínský;3962,886157;583698;-1,77;51;9,56;10,45;34;Zlín;75171;307;30;359354;75,1;4,920975893;2;9125;258;49411;58,83470562;10;2842;453;686935;167783;10 790;934
Moravskoslezský;5430,489192;1209879;-3,41;60;9,84;10,75;33;Ostrava;292681;300;42;337741;70,6;7,451815719;4;27381;438;103260;74,46232227;19;6495;572;816653;340114;11 014;2187
